AssessmentIndDefinitionId,Errors,ExternalId__c,Id,RegulatoryCodeId
0euAq0000000UirIAE,,CCALA 26.1,0fMAq0000000EarMAE,0fCAq0000000FBxMAM
0euAq0000000UisIAE,,CCALA 26.5,0fMAq0000000EasMAE,0fCAq0000000FByMAM
0euAq0000000UitIAE,,CCALA 26.1.1.a ,0fMAq0000000EatMAE,0fCAq0000000FBzMAM
0euAq0000000UiuIAE,,CCALA 26.1.1.b ,0fMAq0000000EauMAE,0fCAq0000000FC0MAM
0euAq0000000UivIAE,,CCALA 26.1.1.c ,0fMAq0000000EavMAE,0fCAq0000000FC1MAM
0euAq0000000UiwIAE,,CCALA 26.1.1.d ,0fMAq0000000EawMAE,0fCAq0000000FC2MAM
0euAq0000000UixIAE,,S 15.1.a,0fMAq0000000EaxMAE,0fCAq0000000FC3MAM
0euAq0000000UiyIAE,,S 15.1.b,0fMAq0000000EayMAE,0fCAq0000000FC4MAM
0euAq0000000UizIAE,,S 15.2.a,0fMAq0000000EazMAE,0fCAq0000000FC5MAM
0euAq0000000Uj0IAE,,S 15.2.b,0fMAq0000000Eb0MAE,0fCAq0000000FC6MAM
0euAq0000000Uj1IAE,,S 16.1,0fMAq0000000Eb1MAE,0fCAq0000000FC7MAM
0euAq0000000Uj2IAE,,S 16.2,0fMAq0000000Eb2MAE,0fCAq0000000FC8MAM
0euAq0000000Uj3IAE,,S 17.1.a,0fMAq0000000Eb3MAE,0fCAq0000000FC9MAM
0euAq0000000Uj4IAE,,S 17.1.b,0fMAq0000000Eb4MAE,0fCAq0000000FCAMA2
0euAq0000000Uj5IAE,,S 17.1.c ,0fMAq0000000Eb5MAE,0fCAq0000000FCBMA2
0euAq0000000Uj6IAE,,S 17.1.d,0fMAq0000000Eb6MAE,0fCAq0000000FCCMA2
0euAq0000000Uj7IAE,,S 17.2,0fMAq0000000Eb7MAE,0fCAq0000000FCDMA2
0euAq0000000Uj8IAE,,S 17.3.a ,0fMAq0000000Eb8MAE,0fCAq0000000FCEMA2
0euAq0000000Uj9IAE,,S 17.3.b ,0fMAq0000000Eb9MAE,0fCAq0000000FCFMA2
0euAq0000000UjAIAU,,S 18.1.a ,0fMAq0000000EbAMAU,0fCAq0000000FCGMA2
0euAq0000000UjBIAU,,S 18.1.b ,0fMAq0000000EbBMAU,0fCAq0000000FCHMA2
0euAq0000000UjCIAU,,S 18.1.c ,0fMAq0000000EbCMAU,0fCAq0000000FCIMA2
0euAq0000000UjDIAU,,S 18.2.a ,0fMAq0000000EbDMAU,0fCAq0000000FCJMA2
0euAq0000000UjEIAU,,S 18.2.b ,0fMAq0000000EbEMAU,0fCAq0000000FCKMA2
0euAq0000000UjFIAU,,S 19.1 ,0fMAq0000000EbFMAU,0fCAq0000000FCLMA2
0euAq0000000UjGIAU,,S 19.2 ,0fMAq0000000EbGMAU,0fCAq0000000FCMMA2
0euAq0000000UjHIAU,,S 19.3.a ,0fMAq0000000EbHMAU,0fCAq0000000FCNMA2
0euAq0000000UjIIAU,,S 19.3.b ,0fMAq0000000EbIMAU,0fCAq0000000FCOMA2
0euAq0000000UjJIAU,,S 19.4 ,0fMAq0000000EbJMAU,0fCAq0000000FCPMA2
0euAq0000000UjKIAU,,S 19.5 ,0fMAq0000000EbKMAU,0fCAq0000000FCQMA2
0euAq0000000UjLIAU,,S 20.1.a ,0fMAq0000000EbLMAU,0fCAq0000000FCRMA2
0euAq0000000UjMIAU,,S 20.1.b ,0fMAq0000000EbMMAU,0fCAq0000000FCSMA2
0euAq0000000UjNIAU,,S 21.1.a ,0fMAq0000000EbNMAU,0fCAq0000000FCTMA2
0euAq0000000UjOIAU,,S 21.1.b ,0fMAq0000000EbOMAU,0fCAq0000000FCUMA2
0euAq0000000UjPIAU,,S 22.1.a.i ,0fMAq0000000EbPMAU,0fCAq0000000FCVMA2
0euAq0000000UjQIAU,,S 22.1.a.ii ,0fMAq0000000EbQMAU,0fCAq0000000FCWMA2
0euAq0000000UjRIAU,,S 22.1.a.iii ,0fMAq0000000EbRMAU,0fCAq0000000FCXMA2
0euAq0000000UjSIAU,,S 22.1.a.iv ,0fMAq0000000EbSMAU,0fCAq0000000FCYMA2
0euAq0000000UjTIAU,,S 22.1.b.i ,0fMAq0000000EbTMAU,0fCAq0000000FCZMA2
0euAq0000000UjUIAU,,S 22.1.b.ii ,0fMAq0000000EbUMAU,0fCAq0000000FCaMAM
0euAq0000000UjVIAU,,S 22.1.b.iii ,0fMAq0000000EbVMAU,0fCAq0000000FCbMAM
0euAq0000000UjWIAU,,S 22.2.a ,0fMAq0000000EbWMAU,0fCAq0000000FCcMAM
0euAq0000000UjXIAU,,S 22.2.b ,0fMAq0000000EbXMAU,0fCAq0000000FCdMAM
0euAq0000000UjYIAU,,S 22.2.c.i ,0fMAq0000000EbYMAU,0fCAq0000000FCeMAM
0euAq0000000UjZIAU,,S 22.2.c.ii ,0fMAq0000000EbZMAU,0fCAq0000000FCfMAM
0euAq0000000UjaIAE,,S 22.2.c.iii ,0fMAq0000000EbaMAE,0fCAq0000000FCgMAM
0euAq0000000UjbIAE,,S 22.3.a ,0fMAq0000000EbbMAE,0fCAq0000000FChMAM
0euAq0000000UjcIAE,,S 22.3.b ,0fMAq0000000EbcMAE,0fCAq0000000FCiMAM
0euAq0000000UjdIAE,,S 22.3.c ,0fMAq0000000EbdMAE,0fCAq0000000FCjMAM
0euAq0000000UjeIAE,,S 22.4 ,0fMAq0000000EbeMAE,0fCAq0000000FCkMAM
0euAq0000000UjfIAE,,S 23.1a ,0fMAq0000000EbfMAE,0fCAq0000000FClMAM
0euAq0000000UjgIAE,,S 23.1b ,0fMAq0000000EbgMAE,0fCAq0000000FCmMAM
0euAq0000000UjhIAE,,S 23.1c ,0fMAq0000000EbhMAE,0fCAq0000000FCnMAM
0euAq0000000UjiIAE,,S 23.1d ,0fMAq0000000EbiMAE,0fCAq0000000FCoMAM
0euAq0000000UjjIAE,,S 23.2a ,0fMAq0000000EbjMAE,0fCAq0000000FCpMAM
0euAq0000000UjkIAE,,S 23.2b.i ,0fMAq0000000EbkMAE,0fCAq0000000FCqMAM
0euAq0000000UjlIAE,,S 23.2b.ii ,0fMAq0000000EblMAE,0fCAq0000000FCrMAM
0euAq0000000UjmIAE,,S 23.2b.iii ,0fMAq0000000EbmMAE,0fCAq0000000FCsMAM
0euAq0000000UjnIAE,,S 24.1.a,0fMAq0000000EbnMAE,0fCAq0000000FCtMAM
0euAq0000000UjoIAE,,S 24.1.b,0fMAq0000000EboMAE,0fCAq0000000FCuMAM
0euAq0000000UjpIAE,,S 24.2,0fMAq0000000EbpMAE,0fCAq0000000FCvMAM
0euAq0000000UjqIAE,,S 24.3,0fMAq0000000EbqMAE,0fCAq0000000FCwMAM
0euAq0000000UjrIAE,,S 25.1.a ,0fMAq0000000EbrMAE,0fCAq0000000FCxMAM
0euAq0000000UjsIAE,,S 25.1.b ,0fMAq0000000EbsMAE,0fCAq0000000FCyMAM
0euAq0000000UjtIAE,,S 25.1.c ,0fMAq0000000EbtMAE,0fCAq0000000FCzMAM
0euAq0000000UjuIAE,,S 25.1.d ,0fMAq0000000EbuMAE,0fCAq0000000FD0MAM
0euAq0000000UjvIAE,,S 25.2.a ,0fMAq0000000EbvMAE,0fCAq0000000FD1MAM
0euAq0000000UjwIAE,,S 25.2.b ,0fMAq0000000EbwMAE,0fCAq0000000FD2MAM
0euAq0000000UjxIAE,,S 25.3 ,0fMAq0000000EbxMAE,0fCAq0000000FD3MAM
0euAq0000000UjyIAE,,S 26.1 ,0fMAq0000000EbyMAE,0fCAq0000000FD4MAM
0euAq0000000UjzIAE,,S 26.2 ,0fMAq0000000EbzMAE,0fCAq0000000FD5MAM
0euAq0000000Uk0IAE,,S 26.3 ,0fMAq0000000Ec0MAE,0fCAq0000000FD6MAM
0euAq0000000Uk1IAE,,S 26.4.a.i ,0fMAq0000000Ec1MAE,0fCAq0000000FD7MAM
0euAq0000000Uk2IAE,,S 26.4.a.ii ,0fMAq0000000Ec2MAE,0fCAq0000000FD8MAM
0euAq0000000Uk3IAE,,S 26.4.b ,0fMAq0000000Ec3MAE,0fCAq0000000FD9MAM
0euAq0000000Uk4IAE,,S 26.5 ,0fMAq0000000Ec4MAE,0fCAq0000000FDAMA2
0euAq0000000Uk5IAE,,S 27.1 ,0fMAq0000000Ec5MAE,0fCAq0000000FDBMA2
0euAq0000000Uk6IAE,,S 27.2 ,0fMAq0000000Ec6MAE,0fCAq0000000FDCMA2
0euAq0000000Uk7IAE,,S 28.1.a ,0fMAq0000000Ec7MAE,0fCAq0000000FDDMA2
0euAq0000000Uk8IAE,,S 28.1.b ,0fMAq0000000Ec8MAE,0fCAq0000000FDEMA2
0euAq0000000Uk9IAE,,S 28.2 ,0fMAq0000000Ec9MAE,0fCAq0000000FDFMA2
0euAq0000000UkAIAU,,S 28.3.a ,0fMAq0000000EcAMAU,0fCAq0000000FDGMA2
0euAq0000000UkBIAU,,S 28.3.b ,0fMAq0000000EcBMAU,0fCAq0000000FDHMA2
0euAq0000000UkCIAU,,S 28.3.c ,0fMAq0000000EcCMAU,0fCAq0000000FDIMA2
0euAq0000000UkDIAU,,S 29.1.a ,0fMAq0000000EcDMAU,0fCAq0000000FDJMA2
0euAq0000000UkEIAU,,S 29.1.b ,0fMAq0000000EcEMAU,0fCAq0000000FDKMA2
0euAq0000000UkFIAU,,S 29.1.c.i ,0fMAq0000000EcFMAU,0fCAq0000000FDLMA2
0euAq0000000UkGIAU,,S 29.1.c.ii ,0fMAq0000000EcGMAU,0fCAq0000000FDMMA2
0euAq0000000UkHIAU,,S 30.1.a ,0fMAq0000000EcHMAU,0fCAq0000000FDNMA2
0euAq0000000UkIIAU,,S 30.1.b ,0fMAq0000000EcIMAU,0fCAq0000000FDOMA2
0euAq0000000UkJIAU,,S 30.1.c ,0fMAq0000000EcJMAU,0fCAq0000000FDPMA2
0euAq0000000UkKIAU,,S 30.1.d ,0fMAq0000000EcKMAU,0fCAq0000000FDQMA2
0euAq0000000UkLIAU,,S 30.1.e ,0fMAq0000000EcLMAU,0fCAq0000000FDRMA2
0euAq0000000UkMIAU,,S 30.1.f ,0fMAq0000000EcMMAU,0fCAq0000000FDSMA2
0euAq0000000UkNIAU,,S 31.1 ,0fMAq0000000EcNMAU,0fCAq0000000FDTMA2
0euAq0000000UkOIAU,,S 31.2 ,0fMAq0000000EcOMAU,0fCAq0000000FDUMA2
0euAq0000000UkPIAU,,S 31.3.a ,0fMAq0000000EcPMAU,0fCAq0000000FDVMA2
0euAq0000000UkQIAU,,S 31.3.b ,0fMAq0000000EcQMAU,0fCAq0000000FDWMA2
0euAq0000000UkRIAU,,S 31.4.a ,0fMAq0000000EcRMAU,0fCAq0000000FDXMA2
0euAq0000000UkSIAU,,S 31.4.b ,0fMAq0000000EcSMAU,0fCAq0000000FDYMA2
0euAq0000000UkTIAU,,S 32.1 ,0fMAq0000000EcTMAU,0fCAq0000000FDZMA2
0euAq0000000UkUIAU,,S 33.1.a ,0fMAq0000000EcUMAU,0fCAq0000000FDaMAM
0euAq0000000UkVIAU,,S 33.1.b.i ,0fMAq0000000EcVMAU,0fCAq0000000FDbMAM
0euAq0000000UkWIAU,,S 33.1.b.ii ,0fMAq0000000EcWMAU,0fCAq0000000FDcMAM
0euAq0000000UkXIAU,,S 33.1.b.iii ,0fMAq0000000EcXMAU,0fCAq0000000FDdMAM
0euAq0000000UkYIAU,,S 33.1.c ,0fMAq0000000EcYMAU,0fCAq0000000FDeMAM
0euAq0000000UkZIAU,,S 33.2.a ,0fMAq0000000EcZMAU,0fCAq0000000FDfMAM
0euAq0000000UkaIAE,,S 33.2.b ,0fMAq0000000EcaMAE,0fCAq0000000FDgMAM
0euAq0000000UkbIAE,,S 33.3.a.i ,0fMAq0000000EcbMAE,0fCAq0000000FDhMAM
0euAq0000000UkcIAE,,S 33.3.a.ii ,0fMAq0000000EccMAE,0fCAq0000000FDiMAM
0euAq0000000UkdIAE,,S 33.3.b ,0fMAq0000000EcdMAE,0fCAq0000000FDjMAM
0euAq0000000UkeIAE,,S 33.4 ,0fMAq0000000EceMAE,0fCAq0000000FDkMAM
0euAq0000000UkfIAE,,S 33.5.a ,0fMAq0000000EcfMAE,0fCAq0000000FDlMAM
0euAq0000000UkgIAE,,S 33.5.b ,0fMAq0000000EcgMAE,0fCAq0000000FDmMAM
0euAq0000000UkhIAE,,S 34.1 ,0fMAq0000000EchMAE,0fCAq0000000FDnMAM
0euAq0000000UkiIAE,,S 34.2 ,0fMAq0000000EciMAE,0fCAq0000000FDoMAM
0euAq0000000UkjIAE,,S 35.1.a ,0fMAq0000000EcjMAE,0fCAq0000000FDpMAM
0euAq0000000UkkIAE,,S 35.1.b ,0fMAq0000000EckMAE,0fCAq0000000FDqMAM
0euAq0000000UklIAE,,S 35.1.c ,0fMAq0000000EclMAE,0fCAq0000000FDrMAM
0euAq0000000UkmIAE,,S 35.1.d ,0fMAq0000000EcmMAE,0fCAq0000000FDsMAM
0euAq0000000UknIAE,,S 35.1.e.i ,0fMAq0000000EcnMAE,0fCAq0000000FDtMAM
0euAq0000000UkoIAE,,S 35.1.e.ii ,0fMAq0000000EcoMAE,0fCAq0000000FDuMAM
0euAq0000000UkpIAE,,S 35.2 ,0fMAq0000000EcpMAE,0fCAq0000000FDvMAM
0euAq0000000UkqIAE,,S 35.3 ,0fMAq0000000EcqMAE,0fCAq0000000FDwMAM
0euAq0000000UkrIAE,,S 36.1 ,0fMAq0000000EcrMAE,0fCAq0000000FDxMAM
0euAq0000000UksIAE,,S 37.1.a ,0fMAq0000000EcsMAE,0fCAq0000000FDyMAM
0euAq0000000UktIAE,,S 37.1.b ,0fMAq0000000EctMAE,0fCAq0000000FDzMAM
0euAq0000000UkuIAE,,S 38.1.a ,0fMAq0000000EcuMAE,0fCAq0000000FE0MAM
0euAq0000000UkvIAE,,S 38.1.b ,0fMAq0000000EcvMAE,0fCAq0000000FE1MAM
0euAq0000000UkwIAE,,S 38.2.a ,0fMAq0000000EcwMAE,0fCAq0000000FE2MAM
0euAq0000000UkxIAE,,S 38.2.b ,0fMAq0000000EcxMAE,0fCAq0000000FE3MAM
0euAq0000000UkyIAE,,S 38.2.c.i ,0fMAq0000000EcyMAE,0fCAq0000000FE4MAM
0euAq0000000UkzIAE,,S 38.2.c.ii ,0fMAq0000000EczMAE,0fCAq0000000FE5MAM
0euAq0000000Ul0IAE,,S 38.2.d ,0fMAq0000000Ed0MAE,0fCAq0000000FE6MAM
0euAq0000000Ul1IAE,,S 38.2.e ,0fMAq0000000Ed1MAE,0fCAq0000000FE7MAM
0euAq0000000Ul2IAE,,S 39.1 ,0fMAq0000000Ed2MAE,0fCAq0000000FE8MAM
0euAq0000000Ul3IAE,,S 39.2 ,0fMAq0000000Ed3MAE,0fCAq0000000FE9MAM
0euAq0000000Ul4IAE,,S 40.1.a ,0fMAq0000000Ed4MAE,0fCAq0000000FEAMA2
0euAq0000000Ul5IAE,,S 40.1.b ,0fMAq0000000Ed5MAE,0fCAq0000000FEBMA2
0euAq0000000Ul6IAE,,S 40.2.a ,0fMAq0000000Ed6MAE,0fCAq0000000FECMA2
0euAq0000000Ul7IAE,,S 40.2.b ,0fMAq0000000Ed7MAE,0fCAq0000000FEDMA2
0euAq0000000Ul8IAE,,S 40.2.c ,0fMAq0000000Ed8MAE,0fCAq0000000FEEMA2
0euAq0000000Ul9IAE,,S 41.1 ,0fMAq0000000Ed9MAE,0fCAq0000000FEFMA2
0euAq0000000UlAIAU,,S 41.2 ,0fMAq0000000EdAMAU,0fCAq0000000FEGMA2
0euAq0000000UlBIAU,,S 42.1.a ,0fMAq0000000EdBMAU,0fCAq0000000FEHMA2
0euAq0000000UlCIAU,,S 42.1.b ,0fMAq0000000EdCMAU,0fCAq0000000FEIMA2
0euAq0000000UlDIAU,,S 42.2 ,0fMAq0000000EdDMAU,0fCAq0000000FEJMA2
0euAq0000000UlEIAU,,S 43.1.a.i ,0fMAq0000000EdEMAU,0fCAq0000000FEKMA2
0euAq0000000UlFIAU,,S 43.1.a.ii ,0fMAq0000000EdFMAU,0fCAq0000000FELMA2
0euAq0000000UlGIAU,,S 43.1.a.iii ,0fMAq0000000EdGMAU,0fCAq0000000FEMMA2
0euAq0000000UlHIAU,,S 43.1.b ,0fMAq0000000EdHMAU,0fCAq0000000FENMA2
0euAq0000000UlIIAU,,S 43.2 ,0fMAq0000000EdIMAU,0fCAq0000000FEOMA2
0euAq0000000UlJIAU,,S 43.3.a ,0fMAq0000000EdJMAU,0fCAq0000000FEPMA2
0euAq0000000UlKIAU,,S 43.3.b ,0fMAq0000000EdKMAU,0fCAq0000000FEQMA2
0euAq0000000UlLIAU,,S 43.4.a ,0fMAq0000000EdLMAU,0fCAq0000000FERMA2
0euAq0000000UlMIAU,,S 43.4.b ,0fMAq0000000EdMMAU,0fCAq0000000FESMA2
0euAq0000000UlNIAU,,S 44.1.a ,0fMAq0000000EdNMAU,0fCAq0000000FETMA2
0euAq0000000UlOIAU,,S 44.1.b ,0fMAq0000000EdOMAU,0fCAq0000000FEUMA2
0euAq0000000UlPIAU,,S 44.2.a ,0fMAq0000000EdPMAU,0fCAq0000000FEVMA2
0euAq0000000UlQIAU,,S 44.2.b ,0fMAq0000000EdQMAU,0fCAq0000000FEWMA2
0euAq0000000UlRIAU,,S 44.2.c ,0fMAq0000000EdRMAU,0fCAq0000000FEXMA2
0euAq0000000UlSIAU,,S 44.3.a ,0fMAq0000000EdSMAU,0fCAq0000000FEYMA2
0euAq0000000UlTIAU,,S 44.3.b.i ,0fMAq0000000EdTMAU,0fCAq0000000FEZMA2
0euAq0000000UlUIAU,,S 44.3.b.ii ,0fMAq0000000EdUMAU,0fCAq0000000FEaMAM
0euAq0000000UlVIAU,,S 44.3.c ,0fMAq0000000EdVMAU,0fCAq0000000FEbMAM
0euAq0000000UlWIAU,,S 44.3.d ,0fMAq0000000EdWMAU,0fCAq0000000FEcMAM
0euAq0000000UlXIAU,,S 44.3.e ,0fMAq0000000EdXMAU,0fCAq0000000FEdMAM
0euAq0000000UlYIAU,,S 45.1.a ,0fMAq0000000EdYMAU,0fCAq0000000FEeMAM
0euAq0000000UlZIAU,,S 45.1.b ,0fMAq0000000EdZMAU,0fCAq0000000FEfMAM
0euAq0000000UlaIAE,,S 45.1.c ,0fMAq0000000EdaMAE,0fCAq0000000FEgMAM
0euAq0000000UlbIAE,,S 45.1.d ,0fMAq0000000EdbMAE,0fCAq0000000FEhMAM
0euAq0000000UlcIAE,,S 45.2.a ,0fMAq0000000EdcMAE,0fCAq0000000FEiMAM
0euAq0000000UldIAE,,S 45.2.b.i ,0fMAq0000000EddMAE,0fCAq0000000FEjMAM
0euAq0000000UleIAE,,S 45.2.b.ii ,0fMAq0000000EdeMAE,0fCAq0000000FEkMAM
0euAq0000000UlfIAE,,S 45.3.a ,0fMAq0000000EdfMAE,0fCAq0000000FElMAM
0euAq0000000UlgIAE,,S 45.3.b ,0fMAq0000000EdgMAE,0fCAq0000000FEmMAM
0euAq0000000UlhIAE,,S 45.3.c.i ,0fMAq0000000EdhMAE,0fCAq0000000FEnMAM
0euAq0000000UliIAE,,S 45.3.c.ii ,0fMAq0000000EdiMAE,0fCAq0000000FEoMAM
0euAq0000000UljIAE,,S 45.3.c.iii ,0fMAq0000000EdjMAE,0fCAq0000000FEpMAM
0euAq0000000UlkIAE,,S 46.1.a ,0fMAq0000000EdkMAE,0fCAq0000000FEqMAM
0euAq0000000UllIAE,,S 46.1.b.i ,0fMAq0000000EdlMAE,0fCAq0000000FErMAM
0euAq0000000UlmIAE,,S 46.1.b.ii ,0fMAq0000000EdmMAE,0fCAq0000000FEsMAM
0euAq0000000UlnIAE,,S 46.1.c ,0fMAq0000000EdnMAE,0fCAq0000000FEtMAM
0euAq0000000UloIAE,,S 47.1.a ,0fMAq0000000EdoMAE,0fCAq0000000FEuMAM
0euAq0000000UlpIAE,,S 47.1.b ,0fMAq0000000EdpMAE,0fCAq0000000FEvMAM
0euAq0000000UlqIAE,,S 48.1 ,0fMAq0000000EdqMAE,0fCAq0000000FEwMAM
0euAq0000000UlrIAE,,S 48.2.a ,0fMAq0000000EdrMAE,0fCAq0000000FExMAM
0euAq0000000UlsIAE,,S 48.2.b ,0fMAq0000000EdsMAE,0fCAq0000000FEyMAM
0euAq0000000UltIAE,,S 48.2.c ,0fMAq0000000EdtMAE,0fCAq0000000FEzMAM
0euAq0000000UluIAE,,S 48.3.a ,0fMAq0000000EduMAE,0fCAq0000000FF0MAM
0euAq0000000UlvIAE,,S 48.3.b ,0fMAq0000000EdvMAE,0fCAq0000000FF1MAM
0euAq0000000UlwIAE,,S 48.4.a ,0fMAq0000000EdwMAE,0fCAq0000000FF2MAM
0euAq0000000UlxIAE,,S 48.4.b ,0fMAq0000000EdxMAE,0fCAq0000000FF3MAM
0euAq0000000UlyIAE,,S 49.1 ,0fMAq0000000EdyMAE,0fCAq0000000FF4MAM
0euAq0000000UlzIAE,,S 49.2 ,0fMAq0000000EdzMAE,0fCAq0000000FF5MAM
0euAq0000000Um0IAE,,S 49.3 ,0fMAq0000000Ee0MAE,0fCAq0000000FF6MAM
0euAq0000000Um1IAE,,S 49.4 ,0fMAq0000000Ee1MAE,0fCAq0000000FF7MAM
0euAq0000000Um2IAE,,S 50.1 ,0fMAq0000000Ee2MAE,0fCAq0000000FF8MAM
