Id,Name,Category__c,DataType,Criticality__c,InspectionQuestiontype__c,PHOCSParentId__c,PHOCSParentId__r.Name,RecordType.DeveloperName,CreatedBy.Name,$$Name$Category__c,PHOCSParentId__r.$$Name$Category__c
0eubZ0000000WBBQA2,Operator immediately notifies a health officer of any circumstance that exists in the food premises that may cause a health hazard.,Employee,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Operator immediately notifies a health officer of any circumstance that exists in the food premises that may cause a health hazard.;Employee,
0eubZ0000000WBCQA2,"Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.","Equipment, Utensils and Cleaning",String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,"Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.;Equipment, Utensils and Cleaning",
0eubZ0000000WBDQA2,Employees maintain and demonstrate good personal hygiene.,Employee,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Employees maintain and demonstrate good personal hygiene.;Employee,
0eubZ0000000WBEQA2,Operator does not permit any person suspected to suffer from a disease communicable through food to come into contact with food or food contact surfaces.,Employee,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Operator does not permit any person suspected to suffer from a disease communicable through food to come into contact with food or food contact surfaces.;Employee,
0eubZ0000000WBFQA2,"Operator of a food premises has developed, maintained, and follows written food handling procedures to ensure that a health hazard does not occur.",Food Safety Management,String,Non-critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,"Operator of a food premises has developed, maintained, and follows written food handling procedures to ensure that a health hazard does not occur.;Food Safety Management",
0eubZ0000000WBGQA2,Operator of a food premises has approved written procedures to ensure the safe and sanitary operation of the establishment.,Food Safety Management,String,Non-critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Operator of a food premises has approved written procedures to ensure the safe and sanitary operation of the establishment.;Food Safety Management,
0eubZ0000000WBHQA2,Live animals are not allowed on the premises unless permitted under 25(2) of the FPR,Miscellaneous,String,Non-critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Live animals are not allowed on the premises unless permitted under 25(2) of the FPR;Miscellaneous,
0eubZ0000000WBIQA2,The premises is free of pests.,Miscellaneous,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,The premises is free of pests.;Miscellaneous,
0eubZ0000000WBJQA2,"The premises is free of conditions that lead to harbouring, breeding and entry of pests.",Miscellaneous,String,Non-critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,"The premises is free of conditions that lead to harbouring, breeding and entry of pests.;Miscellaneous",
0eubZ0000000WBKQA2,"Chemicals, cleansers and similar agents are kept separate from food.",Miscellaneous,String,Non-critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,"Chemicals, cleansers and similar agents are kept separate from food.;Miscellaneous",
0eubZ0000000WBLQA2,The operator and/or food handler onsite holds a valid FOODSAFE Level 1 certificate or equivalent.,Training,String,Non-critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,The operator and/or food handler onsite holds a valid FOODSAFE Level 1 certificate or equivalent.;Training,
0eubZ0000000WBMQA2,Previously served food is not being served.,Previously Served Food,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Previously served food is not being served.;Previously Served Food,
0eubZ0000000WBNQA2,Operation of premises is in accordance with approved specifications.,Temporary Food Service and Inspection Report,String,Non-critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Operation of premises is in accordance with approved specifications.;Temporary Food Service and Inspection Report,
0eubZ0000000WBOQA2,The operator and/or food handler onsite holds a valid FOODSAFE Level 1 certificate or equivalent.,Temporary Food Service and Inspection Report,String,Non-critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,The operator and/or food handler onsite holds a valid FOODSAFE Level 1 certificate or equivalent.;Temporary Food Service and Inspection Report,
0eubZ0000000WBPQA2,All food on the premises is obtained from an approved source.,Temporary Food Service and Inspection Report,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,All food on the premises is obtained from an approved source.;Temporary Food Service and Inspection Report,
0eubZ0000000WBQQA2,Food is handled in a sanitary manner and is not contaminated.,Temporary Food Service and Inspection Report,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Food is handled in a sanitary manner and is not contaminated.;Temporary Food Service and Inspection Report,
0eubZ0000000WBRQA2,Potentially hazardous food is thawed in a manner that makes it safe to eat.,Temporary Food Service and Inspection Report,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Potentially hazardous food is thawed in a manner that makes it safe to eat.;Temporary Food Service and Inspection Report,
0eubZ0000000WBSQA2,Potentially hazardous food (PHF) is prepared and stored in a manner that makes it safe to eat.,Temporary Food Service and Inspection Report,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Potentially hazardous food (PHF) is prepared and stored in a manner that makes it safe to eat.;Temporary Food Service and Inspection Report,
0eubZ0000000WBTQA2,All equipment and food contact surfaces are washed and sanitized to remove contamination.,Temporary Food Service and Inspection Report,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,All equipment and food contact surfaces are washed and sanitized to remove contamination.;Temporary Food Service and Inspection Report,
0eubZ0000000WBUQA2,Each employee washes their hands as necessary to prevent the contamination of food.,Temporary Food Service and Inspection Report,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Each employee washes their hands as necessary to prevent the contamination of food.;Temporary Food Service and Inspection Report,
0eubZ0000000WBVQA2,Approval has been granted to the food premises.,Approvals and Permits,String,Non-critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Approval has been granted to the food premises.;Approvals and Permits,
0eubZ0000000WBWQA2,Potentially hazardous food is at a hot holding temperature that keeps it safe to eat.,Food Sources and Protection,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Potentially hazardous food is at a hot holding temperature that keeps it safe to eat.;Food Sources and Protection,
0eubZ0000000WBXQA2,Potentially hazardous food is at a refrigerated temperature that keeps it safe to eat.,Food Sources and Protection,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Potentially hazardous food is at a refrigerated temperature that keeps it safe to eat.;Food Sources and Protection,
0eubZ0000000WBYQA2,Potentially hazardous food is thawed and/or cooled in an approved manner.,Food Sources and Protection,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Potentially hazardous food is thawed and/or cooled in an approved manner.;Food Sources and Protection,
0eubZ0000000WBZQA2,Operation and maintenance of premises is in accordance with the approved floor plans and specifications.,Construction of Food Premises,String,Non-critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Operation and maintenance of premises is in accordance with the approved floor plans and specifications.;Construction of Food Premises,
0eubZ0000000WBaQAM,Food on the premises is obtained from an approved source.,Food Sources and Protection,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Food on the premises is obtained from an approved source.;Food Sources and Protection,
0eubZ0000000WBbQAM,Potentially hazardous food is cooked/processed in an approved manner.,Food Sources and Protection,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Potentially hazardous food is cooked/processed in an approved manner.;Food Sources and Protection,
0eubZ0000000WBcQAM,"Contaminated food is not stored, displayed or offered for sale.",Food Sources and Protection,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,"Contaminated food is not stored, displayed or offered for sale.;Food Sources and Protection",
0eubZ0000000WBdQAM,Food is kept in a sanitary manner and is not subject to contamination.,Food Sources and Protection,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Food is kept in a sanitary manner and is not subject to contamination.;Food Sources and Protection,
0eubZ0000000WBeQAM,The Permit to Operate a food service establishment is valid and is posted in a conspicuous location.,Permit to Operate Food Service Establishment,String,Non-critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,The Permit to Operate a food service establishment is valid and is posted in a conspicuous location.;Permit to Operate Food Service Establishment,
0eubZ0000000WBfQAM,"The premises and equipment, utensils, and food contact surfaces are maintained in good condition and used in a manner that ensures safe and sanitary food handling.","Equipment, Utensils and Cleaning",String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,"The premises and equipment, utensils, and food contact surfaces are maintained in good condition and used in a manner that ensures safe and sanitary food handling.;Equipment, Utensils and Cleaning",
0eubZ0000000WCaQAM,Procedures to notify a health officer of any existing circumstances that may cause a health hazard in the premises not available or followed.,Employee,Boolean,Non-critical,,0eubZ0000000WBBQA2,Operator immediately notifies a health officer of any circumstance that exists in the food premises that may cause a health hazard.,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Procedures to notify a health officer of any existing circumstances that may cause a health hazard in the premises not available or followed.;Employee,Operator immediately notifies a health officer of any circumstance that exists in the food premises that may cause a health hazard.;Employee
0eubZ0000000WCJQA2,Sanitizing solution concentration is too high.,"Equipment, Utensils and Cleaning",Boolean,Non-critical,,0eubZ0000000WBCQA2,"Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.",PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,"Sanitizing solution concentration is too high.;Equipment, Utensils and Cleaning","Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.;Equipment, Utensils and Cleaning"
0eubZ0000000WCQQA2,Hot and cold running water is not supplied in quantity and pressure to meet the needs of the premises.,"Equipment, Utensils and Cleaning",Boolean,Non-critical,,0eubZ0000000WBCQA2,"Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.",PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,"Hot and cold running water is not supplied in quantity and pressure to meet the needs of the premises.;Equipment, Utensils and Cleaning","Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.;Equipment, Utensils and Cleaning"
0eubZ0000000WCPQA2,Single service utensils and/or containers are used more than once.,"Equipment, Utensils and Cleaning",Boolean,Non-critical,,0eubZ0000000WBCQA2,"Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.",PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,"Single service utensils and/or containers are used more than once.;Equipment, Utensils and Cleaning","Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.;Equipment, Utensils and Cleaning"
0eubZ0000000WCOQA2,Mechanical glasswasher does not provide sufficient washing and/or sanitizing action to remove contamination.,"Equipment, Utensils and Cleaning",Boolean,Non-critical,,0eubZ0000000WBCQA2,"Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.",PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,"Mechanical glasswasher does not provide sufficient washing and/or sanitizing action to remove contamination.;Equipment, Utensils and Cleaning","Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.;Equipment, Utensils and Cleaning"
0eubZ0000000WCNQA2,Manual dishwashing procedure is improper to remove contamination.,"Equipment, Utensils and Cleaning",Boolean,Non-critical,,0eubZ0000000WBCQA2,"Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.",PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,"Manual dishwashing procedure is improper to remove contamination.;Equipment, Utensils and Cleaning","Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.;Equipment, Utensils and Cleaning"
0eubZ0000000WCMQA2,"Wiping cloths are not cleaned, restricted in use and/or stored in approved sanitizing solutions between uses.","Equipment, Utensils and Cleaning",Boolean,Non-critical,,0eubZ0000000WBCQA2,"Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.",PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,"Wiping cloths are not cleaned, restricted in use and/or stored in approved sanitizing solutions between uses.;Equipment, Utensils and Cleaning","Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.;Equipment, Utensils and Cleaning"
0eubZ0000000WCLQA2,Sanitizing solution is not present or at an improper concentration.,"Equipment, Utensils and Cleaning",Boolean,Non-critical,,0eubZ0000000WBCQA2,"Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.",PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,"Sanitizing solution is not present or at an improper concentration.;Equipment, Utensils and Cleaning","Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.;Equipment, Utensils and Cleaning"
0eubZ0000000WCHQA2,Mechanical dishwasher does not provide sufficient washing and/or sanitizing action to remove contamination.,"Equipment, Utensils and Cleaning",Boolean,Non-critical,,0eubZ0000000WBCQA2,"Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.",PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,"Mechanical dishwasher does not provide sufficient washing and/or sanitizing action to remove contamination.;Equipment, Utensils and Cleaning","Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.;Equipment, Utensils and Cleaning"
0eubZ0000000WCIQA2,"Equipment, utensils, and/or food contact surfaces are not maintained or stored in a manner that prevents contamination.","Equipment, Utensils and Cleaning",Boolean,Non-critical,,0eubZ0000000WBCQA2,"Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.",PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,"Equipment, utensils, and/or food contact surfaces are not maintained or stored in a manner that prevents contamination.;Equipment, Utensils and Cleaning","Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.;Equipment, Utensils and Cleaning"
0eubZ0000000WCKQA2,Sanitizing solution concentration is too low.,"Equipment, Utensils and Cleaning",Boolean,Non-critical,,0eubZ0000000WBCQA2,"Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.",PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,"Sanitizing solution concentration is too low.;Equipment, Utensils and Cleaning","Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.;Equipment, Utensils and Cleaning"
0eubZ0000000WCSQA2,"Employees are eating, drinking or using tobacco in food preparation, dishwashing and/or food storage areas.",Employee,Boolean,Non-critical,,0eubZ0000000WBDQA2,Employees maintain and demonstrate good personal hygiene.,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,"Employees are eating, drinking or using tobacco in food preparation, dishwashing and/or food storage areas.;Employee",Employees maintain and demonstrate good personal hygiene.;Employee
0eubZ0000000WCRQA2,Hand washing stations are not properly supplied and maintained.,Employee,Boolean,Non-critical,,0eubZ0000000WBDQA2,Employees maintain and demonstrate good personal hygiene.,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Hand washing stations are not properly supplied and maintained.;Employee,Employees maintain and demonstrate good personal hygiene.;Employee
0eubZ0000000WCYQA2,Employee's hair is not suitably confined.,Employee,Boolean,Non-critical,,0eubZ0000000WBDQA2,Employees maintain and demonstrate good personal hygiene.,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Employee's hair is not suitably confined.;Employee,Employees maintain and demonstrate good personal hygiene.;Employee
0eubZ0000000WCXQA2,Employees do not demonstrate good personal hygiene which may lead to the contamination of food.,Employee,Boolean,Non-critical,,0eubZ0000000WBDQA2,Employees maintain and demonstrate good personal hygiene.,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Employees do not demonstrate good personal hygiene which may lead to the contamination of food.;Employee,Employees maintain and demonstrate good personal hygiene.;Employee
0eubZ0000000WCWQA2,Employees are not washing hands as often as is necessary to prevent contamination of food.,Employee,Boolean,Non-critical,,0eubZ0000000WBDQA2,Employees maintain and demonstrate good personal hygiene.,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Employees are not washing hands as often as is necessary to prevent contamination of food.;Employee,Employees maintain and demonstrate good personal hygiene.;Employee
0eubZ0000000WCVQA2,"Hand washing stations are inadequate in number and location, preventing accessibility to all food handlers.",Employee,Boolean,Non-critical,,0eubZ0000000WBDQA2,Employees maintain and demonstrate good personal hygiene.,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,"Hand washing stations are inadequate in number and location, preventing accessibility to all food handlers.;Employee",Employees maintain and demonstrate good personal hygiene.;Employee
0eubZ0000000WCUQA2,Hand washing station is obstructed or being used for other purposes.,Employee,Boolean,Non-critical,,0eubZ0000000WBDQA2,Employees maintain and demonstrate good personal hygiene.,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Hand washing station is obstructed or being used for other purposes.;Employee,Employees maintain and demonstrate good personal hygiene.;Employee
0eubZ0000000WCTQA2,Employees are not wearing clean clothing or footwear.,Employee,Boolean,Non-critical,,0eubZ0000000WBDQA2,Employees maintain and demonstrate good personal hygiene.,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Employees are not wearing clean clothing or footwear.;Employee,Employees maintain and demonstrate good personal hygiene.;Employee
0eubZ0000000WCZQA2,"Food handlers present with communicable disease transmissible through food, water or drink.",Employee,Boolean,Non-critical,,0eubZ0000000WBEQA2,Operator does not permit any person suspected to suffer from a disease communicable through food to come into contact with food or food contact surfaces.,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,"Food handlers present with communicable disease transmissible through food, water or drink.;Employee",Operator does not permit any person suspected to suffer from a disease communicable through food to come into contact with food or food contact surfaces.;Employee
0eubZ0000000WCbQAM,Procedures in the food safety plan are not being followed.,Food Safety Management,Boolean,Non-critical,,0eubZ0000000WBFQA2,"Operator of a food premises has developed, maintained, and follows written food handling procedures to ensure that a health hazard does not occur.",PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Procedures in the food safety plan are not being followed.;Food Safety Management,"Operator of a food premises has developed, maintained, and follows written food handling procedures to ensure that a health hazard does not occur.;Food Safety Management"
0eubZ0000000WCcQAM,An accurate thermometer is not provided.,Food Safety Management,Boolean,Non-critical,,0eubZ0000000WBFQA2,"Operator of a food premises has developed, maintained, and follows written food handling procedures to ensure that a health hazard does not occur.",PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,An accurate thermometer is not provided.;Food Safety Management,"Operator of a food premises has developed, maintained, and follows written food handling procedures to ensure that a health hazard does not occur.;Food Safety Management"
0eubZ0000000WCfQAM,Food safety plan is not developed.,Food Safety Management,Boolean,Non-critical,,0eubZ0000000WBFQA2,"Operator of a food premises has developed, maintained, and follows written food handling procedures to ensure that a health hazard does not occur.",PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Food safety plan is not developed.;Food Safety Management,"Operator of a food premises has developed, maintained, and follows written food handling procedures to ensure that a health hazard does not occur.;Food Safety Management"
0eubZ0000000WCeQAM,Food safety plan is not maintained to reflect the current menu.,Food Safety Management,Boolean,Non-critical,,0eubZ0000000WBFQA2,"Operator of a food premises has developed, maintained, and follows written food handling procedures to ensure that a health hazard does not occur.",PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Food safety plan is not maintained to reflect the current menu.;Food Safety Management,"Operator of a food premises has developed, maintained, and follows written food handling procedures to ensure that a health hazard does not occur.;Food Safety Management"
0eubZ0000000WCdQAM,Temperature records are not being used to monitor critical limits.,Food Safety Management,Boolean,Non-critical,,0eubZ0000000WBFQA2,"Operator of a food premises has developed, maintained, and follows written food handling procedures to ensure that a health hazard does not occur.",PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Temperature records are not being used to monitor critical limits.;Food Safety Management,"Operator of a food premises has developed, maintained, and follows written food handling procedures to ensure that a health hazard does not occur.;Food Safety Management"
0eubZ0000000WCgQAM,Test strips are not available to monitor sanitizer level.,Food Safety Management,Boolean,Non-critical,,0eubZ0000000WBGQA2,Operator of a food premises has approved written procedures to ensure the safe and sanitary operation of the establishment.,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Test strips are not available to monitor sanitizer level.;Food Safety Management,Operator of a food premises has approved written procedures to ensure the safe and sanitary operation of the establishment.;Food Safety Management
0eubZ0000000WCjQAM,Procedures in the sanitation plan are not being followed.,Food Safety Management,Boolean,Non-critical,,0eubZ0000000WBGQA2,Operator of a food premises has approved written procedures to ensure the safe and sanitary operation of the establishment.,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Procedures in the sanitation plan are not being followed.;Food Safety Management,Operator of a food premises has approved written procedures to ensure the safe and sanitary operation of the establishment.;Food Safety Management
0eubZ0000000WCiQAM,Sanitation plan is not developed and/or approved by a health officer.,Food Safety Management,Boolean,Non-critical,,0eubZ0000000WBGQA2,Operator of a food premises has approved written procedures to ensure the safe and sanitary operation of the establishment.,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Sanitation plan is not developed and/or approved by a health officer.;Food Safety Management,Operator of a food premises has approved written procedures to ensure the safe and sanitary operation of the establishment.;Food Safety Management
0eubZ0000000WChQAM,Sanitizer levels are not being monitored and recorded.,Food Safety Management,Boolean,Non-critical,,0eubZ0000000WBGQA2,Operator of a food premises has approved written procedures to ensure the safe and sanitary operation of the establishment.,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Sanitizer levels are not being monitored and recorded.;Food Safety Management,Operator of a food premises has approved written procedures to ensure the safe and sanitary operation of the establishment.;Food Safety Management
0eubZ0000000WCkQAM,Live animals are on the premises.,Miscellaneous,Boolean,Non-critical,,0eubZ0000000WBHQA2,Live animals are not allowed on the premises unless permitted under 25(2) of the FPR,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Live animals are on the premises.;Miscellaneous,Live animals are not allowed on the premises unless permitted under 25(2) of the FPR;Miscellaneous
0eubZ0000000WClQAM,Premises has signs of insect activity.,Miscellaneous,Boolean,Non-critical,,0eubZ0000000WBIQA2,The premises is free of pests.,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Premises has signs of insect activity.;Miscellaneous,The premises is free of pests.;Miscellaneous
0eubZ0000000WCmQAM,Premises has signs of rodent activity.,Miscellaneous,Boolean,Non-critical,,0eubZ0000000WBIQA2,The premises is free of pests.,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Premises has signs of rodent activity.;Miscellaneous,The premises is free of pests.;Miscellaneous
0eubZ0000000WCoQAM,Premises not protected against entry of pests.,Miscellaneous,Boolean,Non-critical,,0eubZ0000000WBJQA2,"The premises is free of conditions that lead to harbouring, breeding and entry of pests.",PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Premises not protected against entry of pests.;Miscellaneous,"The premises is free of conditions that lead to harbouring, breeding and entry of pests.;Miscellaneous"
0eubZ0000000WCnQAM,Conditions present that may lead to harbouring or breeding of pests.,Miscellaneous,Boolean,Non-critical,,0eubZ0000000WBJQA2,"The premises is free of conditions that lead to harbouring, breeding and entry of pests.",PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Conditions present that may lead to harbouring or breeding of pests.;Miscellaneous,"The premises is free of conditions that lead to harbouring, breeding and entry of pests.;Miscellaneous"
0eubZ0000000WCpQAM,Non-food containers are not clearly labelled to identify contents.,Miscellaneous,Boolean,Non-critical,,0eubZ0000000WBKQA2,"Chemicals, cleansers and similar agents are kept separate from food.",PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Non-food containers are not clearly labelled to identify contents.;Miscellaneous,"Chemicals, cleansers and similar agents are kept separate from food.;Miscellaneous"
0eubZ0000000WCqQAM,"Chemicals, cleansers and similar agents are not stored separately from food.",Miscellaneous,Boolean,Non-critical,,0eubZ0000000WBKQA2,"Chemicals, cleansers and similar agents are kept separate from food.",PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,"Chemicals, cleansers and similar agents are not stored separately from food.;Miscellaneous","Chemicals, cleansers and similar agents are kept separate from food.;Miscellaneous"
0eubZ0000000WCrQAM,No employee present holds a valid FOODSAFE or equivalent certificate while the Owner/Operator is absent.,Training,Boolean,Non-critical,,0eubZ0000000WBLQA2,The operator and/or food handler onsite holds a valid FOODSAFE Level 1 certificate or equivalent.,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,No employee present holds a valid FOODSAFE or equivalent certificate while the Owner/Operator is absent.;Training,The operator and/or food handler onsite holds a valid FOODSAFE Level 1 certificate or equivalent.;Training
