Id,Name,Subject,Description,EffectiveFrom,RegulatoryAuthority.Name,RecordType.DeveloperName,$$Name$RegulatoryAuthority.Name
0fCbZ0000000GSzUAM,Raw Shellfish Guidelines,Guide for Restaurant Operators Serving Raw Oysters and Bivalve Shellfish,Guide for Restaurant Operators Serving Raw Oysters and Bivalve Shellfish,2026-04-06T00:00:00.000+0000,BCCDC,PHOCSRegulatoryCode,Raw Shellfish Guidelines;BCCDC
0fCbZ0000000GT0UAM,Raw Oysters Guidelines,Guide for Restaurant Operators Serving Raw Oysters and Bivalve Shellfish,Guide for Restaurant Operators Serving Raw Oysters and Bivalve Shellfish,2026-04-06T00:00:00.000+0000,BCCDC,PHOCSRegulatoryCode,Raw Oysters Guidelines;BCCDC
0fCbZ0000000GT1UAM,Potable Water Storage Tanks and Water Supply,Mobile Food Premises Guideline,Mobile Food Premises Guideline,2026-04-06T00:00:00.000+0000,BCCDC,PHOCSRegulatoryCode,Potable Water Storage Tanks and Water Supply;BCCDC
0fCbZ0000000GT2UAM,Physical Requirements,Mobile Food Premises Guideline,Mobile Food Premises Guideline,2026-04-06T00:00:00.000+0000,BCCDC,PHOCSRegulatoryCode,Physical Requirements;BCCDC
0fCbZ0000000GT3UAM,Operational Requirements,Mobile Food Premises Guideline,Mobile Food Premises Guideline,2026-04-06T00:00:00.000+0000,BCCDC,PHOCSRegulatoryCode,Operational Requirements;BCCDC
0fCbZ0000000GT4UAM,Garbage,Mobile Food Premises Guideline,Mobile Food Premises Guideline,2026-04-06T00:00:00.000+0000,BCCDC,PHOCSRegulatoryCode,Garbage;BCCDC
0fCbZ0000000GT5UAM,Food Preparation and Protection,Mobile Food Premises Guideline,Mobile Food Premises Guideline,2026-04-06T00:00:00.000+0000,BCCDC,PHOCSRegulatoryCode,Food Preparation and Protection;BCCDC
0fCbZ0000000GT6UAM,Section 8,Permit to operate food service establishment,Permit to operate food service establishment,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 8;Food Premises Regulation
0fCbZ0000000GT7UAM,Section 7,Notification of health hazard,Notification of health hazard,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 7;Food Premises Regulation
0fCbZ0000000GT8UAM,Section 6,Approval,Approval,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 6;Food Premises Regulation
0fCbZ0000000GT9UAM,Section 4,General construction requirements,General construction requirements,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 4;Food Premises Regulation
0fCbZ0000000GTAUA2,Section 3,Water supply required,Plans and specifications to be approved,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 3;Food Premises Regulation
0fCbZ0000000GTBUA2,Section 27,Storage of chemicals,Storage of chemicals,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 27;Food Premises Regulation
0fCbZ0000000GTCUA2,Section 26(b),Pests,Pests,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 26(b);Food Premises Regulation
0fCbZ0000000GTDUA2,Section 26(a),Pests,Pests,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 26(a);Food Premises Regulation
0fCbZ0000000GTEUA2,Section 25(1),Animals,Animals,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 25(1);Food Premises Regulation
0fCbZ0000000GTFUA2,Section 25,Animals,Animals,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 25;Food Premises Regulation
0fCbZ0000000GTGUA2,Section 24(3),Sanitation procedures,Sanitation procedures,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 24(3);Food Premises Regulation
0fCbZ0000000GTHUA2,Section 24,Sanitation Procedures,Sanitation Procedures,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 24;Food Premises Regulation
0fCbZ0000000GTIUA2,Section 23(2),Food handling procedures,Food handling procedures,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 23(2);Food Premises Regulation
0fCbZ0000000GTJUA2,Section 23,Food handling procedures,Food handling procedures,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 23;Food Premises Regulation
0fCbZ0000000GTKUA2,Section 22,Communicable Disease,Communicable Disease,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 22;Food Premises Regulation
0fCbZ0000000GTLUA2,Section 21(4),Employee Hygiene,Employee Hygiene,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 21(4);Food Premises Regulation
0fCbZ0000000GTMUA2,Section 21(3),Employee Hygiene,Employee Hygiene,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 21(3);Food Premises Regulation
0fCbZ0000000GTNUA2,Section 21(2),Employee Hygiene,Employee Hygiene,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 21(2);Food Premises Regulation
0fCbZ0000000GTOUA2,Section 21(1),Employee Hygiene,Employee Hygiene,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 21(1);Food Premises Regulation
0fCbZ0000000GTPUA2,Section 21,Employee Hygiene,Employee Hygiene,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 21;Food Premises Regulation
0fCbZ0000000GTQUA2,Section 20,Single Service Utensils and Containers,Single Service Utensils and Containers,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 20;Food Premises Regulation
0fCbZ0000000GTRUA2,Section 19(1),Refridgeration and hot holding equipment,Refridgeration and hot holding equipment,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 19(1);Food Premises Regulation
0fCbZ0000000GTSUA2,Section 19(2),Licenses and permits,Licenses and permits,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 19(2);Food Premises Regulation
0fCbZ0000000GTTUA2,Section 19,Refrigeration and hot holding equipment,Refrigeration and hot holding equipment,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 19;Food Premises Regulation
0fCbZ0000000GTUUA2,Section 18,Storage,Storage,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 18;Food Premises Regulation
0fCbZ0000000GTVUA2,Section 17(3),Maintenance,Maintenance,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 17(3);Food Premises Regulation
0fCbZ0000000GTWUA2,Section 17(2),Maintenance,Maintenance,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 17(2);Food Premises Regulation
0fCbZ0000000GTXUA2,Section 17(1),Maintenance,Maintenance,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 17(1);Food Premises Regulation
0fCbZ0000000GTYUA2,Section 17,Maintenance,Maintenance,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 17;Food Premises Regulation
0fCbZ0000000GTZUA2,Section 16,"Equipment, utensils, and food contact surfaces","Equipment, utensils, and food contact surfaces",2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 16;Food Premises Regulation
0fCbZ0000000GTaUAM,Section 15,Previously served food,Previously served food,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 15;Food Premises Regulation
0fCbZ0000000GTbUAM,Section 14(3),"Processing, storage and display","Processing, storage and display",2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 14(3);Food Premises Regulation
0fCbZ0000000GTcUAM,Section 14(2),"Processing, storage and display","Processing, storage and display",2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 14(2);Food Premises Regulation
0fCbZ0000000GTdUAM,Section 14(1),"Processing, storage and display","Processing, storage and display",2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 14(1);Food Premises Regulation
0fCbZ0000000GTeUAM,Section 14,"Processing, storage and display","Processing, storage and display",2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 14;Food Premises Regulation
0fCbZ0000000GTfUAM,Section 13,Contaminated food,Contaminated food,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 13;Food Premises Regulation
0fCbZ0000000GTgUAM,Section 12,Protection of food from contamination,Protection of food from contamination,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 12;Food Premises Regulation
0fCbZ0000000GThUAM,Section 11,Food from approved sources,Food from approved sources,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 11;Food Premises Regulation
0fCbZ0000000GTiUAM,Section 10,FOODSAFE training,FOODSAFE training,2026-04-06T00:00:00.000+0000,Food Premises Regulation,PHOCSRegulatoryCode,Section 10;Food Premises Regulation
0fCbZ0000000GTjUAM,Section 19(2)e,Licenses and permits,Licenses and permits,2026-04-06T00:00:00.000+0000,Public Health Act,PHOCSRegulatoryCode,Section 19(2)e;Public Health Act
0fCbZ0000000GTkUAM,Chapter 4,Meat Hygiene Manual of Procedures,Meat Hygiene Manual of Procedures,2026-04-06T00:00:00.000+0000,Canadian Food Inspection Agency,PHOCSRegulatoryCode,Chapter 4;Canadian Food Inspection Agency
